username,profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,real_account
mili_kids_bows,True,True,221,39,0.17567567567567569,9,False,False,True,True,0,4.470588235294118,7.0,2.0,1.4627733530362594,2.139705882352941,-0.2491353350231356,0.1176470588235294,2.0,0.0,0.4850712500726659,0.2352941176470588,3.749999999999999,103331.875,580646.0,33.0,191750.6360983365,36768306444.11667,1.5277991913964493,False
entrtran,True,False,6444,69,0.010705973622963535,6,False,False,False,False,0,2.333333333333333,5.0,1.0,1.5055453054181618,2.2666666666666666,0.9273420957271552,0.5,2.0,0.0,0.8366600265340756,0.7,1.1222634354993892,129878.8,649234.0,4.0,290328.3849948193,84290571133.7,1.4999999463256022,False
obyvaem_belarus,True,True,7301,5593,0.7659545330046562,914,False,False,True,False,2,4.24,13.0,2.0,2.727636339397171,7.44,1.8547345464787817,0.0,0.0,0.0,0.0,0.0,0.0,112.91666666666669,891.0,9.0,209.2713895704657,43794.51449275362,3.076506860226307,False
malygina6891,True,False,39,11,0.275,37,False,False,False,True,0,3.44,5.0,2.0,0.9609023536933051,0.9233333333333332,0.17347142796997164,0.08,2.0,0.0,0.4,0.16,4.694855340334422,15570.166666666664,368994.0,5.0,75279.0407788231,5666933980.57971,4.587301254454274,False
gazay9,True,False,534,308,0.5757009345794393,85,False,False,False,False,1,53.04,85.0,26.0,14.990219033311913,224.70666666666668,-0.08678579374376652,0.72,3.0,0.0,0.8906926143924925,0.7933333333333333,0.9353791176609294,1760408.083333333,12017871.0,40.0,3579262.956217333,12811123309749.645,2.132941807437676,False
elgranviatge,True,False,7104,6181,0.8699507389162562,1544,False,False,True,False,8,3.48,7.0,1.0,1.6613247725836149,2.76,0.3695842753617016,0.04,1.0,0.0,0.2,0.04,4.694855340334422,42972.25,77398.0,18824.0,12998.097129128591,168950528.97826087,0.6377350846566403,False
miss_insta5668,True,False,3539,43,0.012146892655367232,15,False,False,False,False,0,2.333333333333333,12.0,0.0,2.845213189769458,8.095238095238095,2.8283933919678255,0.06666666666666668,1.0,0.0,0.2581988897471611,0.06666666666666668,3.4743961448615135,180420.57142857145,2004401.0,15.0,543027.967315286,294879373286.5714,3.0097172503751835,False
giaiwanec_,True,True,4067,1762,0.4331366764995084,26,False,False,True,False,28,426.64,623.0,285.0,92.52426708707287,8560.74,0.3016568946490653,27.28,135.0,1.0,32.62734027366211,1064.5433333333333,2.2127479511969845,1645445.666666667,5518468.0,50151.0,1373923.4344271994,1887665603668.232,1.0373400311298961,False
sekhar.radha,True,False,6677,67,0.010032943995208146,14,False,False,False,False,0,5.285714285714286,9.0,2.0,2.3673604720015926,5.604395604395603,0.33226724150517944,0.07142857142857142,1.0,0.0,0.2672612419124244,0.07142857142857142,3.328201177351376,785443.5384615384,1577154.0,4.0,419345.6782948913,175850797904.60254,0.12631630102331234,False
ethanworrall2103,False,True,1636,560,0.3420891875381796,3,False,False,False,False,1,60.33333333333334,103.0,39.0,36.95041722813605,1365.3333333333333,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,1038064.5,1856627.0,219502.0,1157622.1891500263,1340089132812.5,0.0,False
