profile_pic,biography,follows_count,followed_by_count,ff_ratio,media_count,is_private,is_verified,is_business_account,is_joined_recently,highlight_reel_count,average_likes,max_likes,min_likes,std_likes,var_likes,skw_likes,average_comments,max_comments,min_comments,std_comments,var_comments,skw_comments,mean_time_between_posts,max_time_between_posts,min_time_between_posts,std_time_between_posts,var_time_between_posts,skw_time_between_posts,classification
True,False,6766,78,0.011527,6,False,False,False,False,0,7.333333,17,3,5.316641,28.266667,1.134844,0.166667,1,0,0.408248,0.166667,1.788854,3.8,4,3,0.447214,0.2,-1.5,False
True,True,594,584,0.981513,22,True,False,False,False,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True
True,True,486,760,1.560575,20,False,False,True,False,4,48.8,104,1,39.436291,1555.221053,0.160487,0.05,1,0,0.223607,0.05,4.129483,74829.631579,494143,16,132533.223686,17565055380.69006,2.029834,False
True,True,108,68,0.623853,4,False,False,False,False,0,26,29,22,2.94392,8.666667,-0.543091,0.75,2,0,0.957427,0.916667,0.493382,2413210,3556988,508747,1660398.913044,2756924550439,-0.664995,False
True,True,6819,170,0.024927,6,False,False,False,False,0,25,61,11,18.804255,353.6,1.357003,2.5,8,0,3.016621,9.1,1.149267,4066760.4,17262759,313478,7387126.521255,54569638241031.3,1.489617,False
True,False,6523,35,0.005365,5,False,False,False,False,0,4.6,7,3,1.516575,2.3,0.750031,0,0,0,0,0,0,508792.25,2035098,12,1017537.166736,1035381885689.5834,1.154701,False
True,False,82,92,1.108434,21,False,False,False,False,0,25.619048,40,17,5.2581,27.647619,0.787023,0.142857,2,0,0.478091,0.228571,3.272365,1281178.6,12623246,40,3106840.173115,9652455861281.516,2.793312,False
True,False,33,6,0.176471,3,False,False,False,False,0,4.333333,5,3,1.154701,1.333333,-0.707107,0,0,0,0,0,0,35460.5,70819,102,50004.470245,2500447044.5,0,False
True,True,6637,20525,3.092046,108,False,False,True,False,4,68.8,138,18,32.469216,1054.25,0.223198,0.12,1,0,0.331662,0.11,2.338738,101276.875,699959,71,180820.62152,32696097166.983696,2.580021,False
True,True,4478,113,0.025229,24,False,False,False,False,0,13.583333,44,1,9.739729,94.862319,1.264192,0.458333,6,0,1.318074,1.737319,3.408641,1771704.695652,18431336,10,4232948.865679,17917856099450.133,3.1053,False
